1,INT1303,2019,1,1,120,50,1
2,INT1306,2019,1,1,150,20,1
3,INT1306,2019,1,2,70,20,0
4,INT1313,2019,1,1,100,20,0
5,INT1330,2019,1,1,120,20,0
6,INT1336,2019,1,1,99,20,0
7,INT1340,2019,1,1,100,20,0
8,INT1433,2019,1,1,100,20,0
9,INT1156,2019,1,1,100,20,0
10,INT1156,2019,1,2,50,20,0
11,INT1157,2019,1,1,50,20,1
12,INT1157,2019,1,2,100,20,0
13,INT1156,2019,1,3,100,20,0
14,INT1303,2019,1,2,100,20,0
15,INT1306,2019,1,3,50,20,0
16,INT1330,2019,1,2,100,20,0
17,INT1339,2019,2,1,150,30,0
18,INT1303,2019,2,1,69,20,0
19,BAS1227,2019,2,1,80,20,0
20,INT1359,2019,2,1,100,20,0
21,BAS1101,2019,2,1,150,40,0
22,INT1313,2019,2,1,120,50,0
23,INT1330,2019,2,1,110,30,0
24,INT1330,2019,2,2,120,40,0
25,INT1319,2019,2,1,100,20,0
26,INT1332,2019,2,1,50,20,0
27,INT1332,2019,2,2,50,20,0
28,INT1332,2019,2,3,50,20,0
29,BAS1227,2019,2,2,20,10,0
30,BAS1227,2019,2,3,20,10,0
31,BAS1227,2019,2,4,20,10,0
32,INT1332,2019,2,4,50,20,0
33,BAS1227,2019,2,5,20,10,0
34,BAS1227,2019,2,6,20,10,0
35,INT1332,2019,2,5,50,20,0
36,INT1339,2019,2,2,150,30,0
37,INT1528,2019,2,1,80,30,0
38,INT1313,2019,2,2,120,50,0
39,BAS1152,2020,1,1,160,30,0
40,INT1313,2020,1,1,150,21,0
41,INT1303,2020,1,1,100,20,0
42,BAS1227,2020,1,1,100,20,0
43,INT1306,2022,2,1,150,30,1
44,INT1359,2023,1,1,100,20,1
45,ELE1319,2023,2,1,100,20,0
46,INT1306,2023,2,1,100,20,0
47,INT1323,2023,2,1,100,10,0
48,INT13162,2023,3,1,100,10,0
49,INT13162,2023,3,2,100,10,0
50,BAS1145,2023,3,1,14,12,0
51,BAS1226,2023,3,1,56,12,0
52,BAS1225,2023,3,1,56,12,0
53,BAS1203,2023,3,1,234,34,0
55,INT1303,2023,3,2,3,2,0
56,BAS1203,2023,3,2,33,23,0
57,INT1303,2023,3,3,34,23,0
58,BAS1203,2023,3,3,5,3,0
